Marco Rubio,Republican,135,12.11%
Ted Cruz,Republican,325,29.15%
Rick Santorum,Republican,1,0.09%
Carly Fiorina,Republican,0,0.00%
John R. Kasich,Republican,123,11.03%
Rand Paul,Republican,5,0.45%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,2,0.18%
Uncommitted,Republican,9,0.81%
 ,Party Total:,"1,115", 
 , , , 
Austin Petersen,Libertarian,0,0.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,1,25.00%
Cecil Ince,Libertarian,1,25.00%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,2,50.00%
 ,Party Total:,4, 
 , , , 
Uncommitted,Constitution,2,100.00%
 ,Total Votes:,"1,438", 
 , , , 
,,,
U.S. President, , ,14 of 14 Precincts Reported
Hillary Clinton,Democratic,749,49.64%
Henry Hewes,Democratic,4,0.27%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.13%
Bernie Sanders,Democratic,728,48.24%
Keith Judd,Democratic,4,0.27%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,3,0.20%
John Wolfe,Democratic,1,0.07%
Jon Adams,Democratic,2,0.13%
Uncommitted,Democratic,16,1.06%
 ,Party Total:,"1,509", 
 , , , 
Chris Christie,Republican,12,0.30%
Jeb Bush,Republican,23,0.57%
Ben Carson,Republican,43,1.07%
Donald J. Trump,Republican,"1,611",40.00%
Marco Rubio,Republican,229,5.69%
Ted Cruz,Republican,"1,642",40.77%
Rick Santorum,Republican,4,0.10%
Carly Fiorina,Republican,3,0.07%
John R. Kasich,Republican,423,10.50%
Rand Paul,Republican,13,0.32%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,5,0.12%
Uncommitted,Republican,20,0.50%
 ,Party Total:,"4,028", 
 , , , 
Austin Petersen,Libertarian,6,46.15%
Steven Elliott (Steve) Kerbel,Libertarian,1,7.69%
Rhett Rosenquest Smith,Libertarian,1,7.69%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,1,7.69%
Uncommitted,Libertarian,4,30.77%
 ,Party Total:,13, 
 , , , 
Uncommitted,Constitution,4,100.00%
 ,Total Votes:,"5,554", 
 , , , 
,,,
U.S. President, , ,17 of 17 Precincts Reported
Hillary Clinton,Democratic,874,51.62%
Henry Hewes,Democratic,2,0.12%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,796,47.02%
Keith Judd,Democratic,2,0.12%
Willie L. Wilson,Democratic,2,0.12%
Martin J. O'Malley,Democratic,1,0.06%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,1,0.06%
Uncommitted,Democratic,15,0.89%
 ,Party Total:,"1,693", 
 , , , 
Chris Christie,Republican,10,0.14%
Jeb Bush,Republican,20,0.28%
Ben Carson,Republican,53,0.75%
Donald J. Trump,Republican,"3,030",43.10%
Marco Rubio,Republican,255,3.63%
Ted Cruz,Republican,"3,189",45.36%
Rick Santorum,Republican,4,0.06%
Carly Fiorina,Republican,3,0.04%
John R. Kasich,Republican,400,5.69%
Rand Paul,Republican,16,0.23%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,28,0.40%
Uncommitted,Republican,23,0.33%
 ,Party Total:,"7,031", 
 , , , 
Austin Petersen,Libertarian,1,25.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,2,50.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,1,25.00%
 ,Party Total:,4, 
 , , , 
Uncommitted,Constitution,1,100.00%
 ,Total Votes:,"8,729", 
 , , , 
,,,
U.S. President, , ,9 of 9 Precincts Reported
Hillary Clinton,Democratic,205,48.12%
Henry Hewes,Democratic,0,0.00%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,214,50.24%
Keith Judd,Democratic,0,0.00%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,2,0.47%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,5,1.17%
 ,Party Total:,426, 
 , , , 
Chris Christie,Republican,7,0.24%
Jeb Bush,Republican,13,0.45%
Ben Carson,Republican,30,1.04%
Donald J. Trump,Republican,986,34.08%
Marco Rubio,Republican,103,3.56%
Ted Cruz,Republican,"1,560",53.92%
Rick Santorum,Republican,0,0.00%
Carly Fiorina,Republican,1,0.04%
John R. Kasich,Republican,170,5.88%
Rand Paul,Republican,3,0.10%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,13,0.45%
Uncommitted,Republican,7,0.24%
 ,Party Total:,"2,893", 
 , , , 
Austin Petersen,Libertarian,0,0.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,1,100.00%
 ,Party Total:,1, 
 , , , 
Uncommitted,Constitution,4,100.00%
 ,Total Votes:,"3,324", 
 , , , 
,,,
U.S. President, , ,16 of 16 Precincts Reported
Hillary Clinton,Democratic,518,43.53%
Henry Hewes,Democratic,3,0.25%
"Roque ""Rocky"" De La Fuente",Democratic,3,0.25%
Bernie Sanders,Democratic,632,53.11%
Keith Judd,Democratic,1,0.08%
Willie L. Wilson,Democratic,5,0.42%
Martin J. O'Malley,Democratic,1,0.08%
John Wolfe,Democratic,3,0.25%
Jon Adams,Democratic,2,0.17%
Uncommitted,Democratic,22,1.85%
 ,Party Total:,"1,190", 
 , , , 
Chris Christie,Republican,10,0.35%
Jeb Bush,Republican,16,0.56%
Ben Carson,Republican,40,1.41%
Donald J. Trump,Republican,"1,306",46.04%
Marco Rubio,Republican,143,5.04%
Ted Cruz,Republican,"1,080",38.07%
Rick Santorum,Republican,2,0.07%
Carly Fiorina,Republican,1,0.04%
John R. Kasich,Republican,199,7.01%
Rand Paul,Republican,6,0.21%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,16,0.56%
Uncommitted,Republican,18,0.63%
 ,Party Total:,"2,837", 
 , , , 
Austin Petersen,Libertarian,2,66.67%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,1,33.33%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,0,0.00%
 ,Party Total:,3, 
 , , , 
Uncommitted,Constitution,1,100.00%
 ,Total Votes:,"4,031", 
 , , , 
,,,
U.S. President, , ,8 of 8 Precincts Reported
Hillary Clinton,Democratic,669,53.35%
Henry Hewes,Democratic,1,0.08%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,567,45.22%
Keith Judd,Democratic,0,0.00%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,1,0.08%
John Wolfe,Democratic,1,0.08%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,15,1.20%
 ,Party Total:,"1,254", 
 , , , 
Chris Christie,Republican,4,0.10%
Jeb Bush,Republican,14,0.34%
Ben Carson,Republican,45,1.09%
Donald J. Trump,Republican,"2,278",55.40%
Marco Rubio,Republican,138,3.36%
Ted Cruz,Republican,"1,314",31.96%
Rick Santorum,Republican,4,0.10%
Carly Fiorina,Republican,3,0.07%
John R. Kasich,Republican,287,6.98%
Rand Paul,Republican,8,0.20%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,7,0.17%
Uncommitted,Republican,10,0.24%
 ,Party Total:,"4,112", 
 , , , 
Austin Petersen,Libertarian,0,0.00%
Steven Elliott (Steve) Kerbel,Libertarian,1,25.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,2,50.00%
Uncommitted,Libertarian,1,25.00%
 ,Party Total:,4, 
 , , , 
Uncommitted,Constitution,0,0.00%
 ,Total Votes:,"5,370", 
 , , , 
,,,
U.S. President, , ,9 of 9 Precincts Reported
Hillary Clinton,Democratic,242,53.78%
Henry Hewes,Democratic,2,0.44%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,203,45.11%
Keith Judd,Democratic,0,0.00%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,0,0.00%
John Wolfe,Democratic,2,0.44%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,1,0.22%
 ,Party Total:,450, 
 , , , 
Chris Christie,Republican,8,0.30%
Jeb Bush,Republican,10,0.37%
Ben Carson,Republican,18,0.67%
Donald J. Trump,Republican,"1,272",47.61%
Marco Rubio,Republican,98,3.67%
Ted Cruz,Republican,"1,111",41.58%
Rick Santorum,Republican,0,0.00%
Carly Fiorina,Republican,1,0.04%
John R. Kasich,Republican,141,5.28%
Rand Paul,Republican,3,0.11%
Jim Lynch,Republican,1,0.04%
Mike Huckabee,Republican,3,0.11%
Uncommitted,Republican,6,0.23%
 ,Party Total:,"2,672", 
 , , , 
Austin Petersen,Libertarian,1,50.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,1,50.00%
Uncommitted,Libertarian,0,0.00%
 ,Party Total:,2, 
 , , , 
Uncommitted,Constitution,0,0.00%
 ,Total Votes:,"3,124", 
 , , , 
,,,
U.S. President, , ,61 of 61 Precincts Reported
Hillary Clinton,Democratic,"9,628",38.70%
Henry Hewes,Democratic,13,0.05%
"Roque ""Rocky"" De La Fuente",Democratic,7,0.03%
Bernie Sanders,Democratic,"15,076",60.60%
Keith Judd,Democratic,7,0.03%
Willie L. Wilson,Democratic,6,0.02%
Martin J. O'Malley,Democratic,18,0.07%
John Wolfe,Democratic,7,0.03%
Jon Adams,Democratic,5,0.02%
Uncommitted,Democratic,112,0.45%
 ,Party Total:,"24,879", 
 , , , 
Chris Christie,Republican,45,0.18%
Jeb Bush,Republican,91,0.36%
Ben Carson,Republican,229,0.90%
Donald J. Trump,Republican,"7,898",30.89%
Marco Rubio,Republican,"2,106",8.24%
Ted Cruz,Republican,"11,219",43.88%
Rick Santorum,Republican,27,0.11%
Carly Fiorina,Republican,27,0.11%
John R. Kasich,Republican,"3,728",14.58%
Rand Paul,Republican,62,0.24%
Jim Lynch,Republican,8,0.03%
Mike Huckabee,Republican,26,0.10%
Uncommitted,Republican,103,0.40%
 ,Party Total:,"25,569", 
 , , , 
Austin Petersen,Libertarian,43,26.71%
Steven Elliott (Steve) Kerbel,Libertarian,17,10.56%
Rhett Rosenquest Smith,Libertarian,10,6.21%
Cecil Ince,Libertarian,7,4.35%
Marc Allan Feldman,Libertarian,10,6.21%
Uncommitted,Libertarian,74,45.96%
 ,Party Total:,161, 
 , , , 
Uncommitted,Constitution,15,100.00%
 ,Total Votes:,"50,624", 
 , , , 
,,,
U.S. President, , ,27 of 27 Precincts Reported
Hillary Clinton,Democratic,"3,443",44.54%
Henry Hewes,Democratic,8,0.10%
"Roque ""Rocky"" De La Fuente",Democratic,4,0.05%
Bernie Sanders,Democratic,"4,148",53.65%
Keith Judd,Democratic,7,0.09%
Willie L. Wilson,Democratic,7,0.09%
Martin J. O'Malley,Democratic,6,0.08%
John Wolfe,Democratic,7,0.09%
Jon Adams,Democratic,8,0.10%
Uncommitted,Democratic,93,1.20%
 ,Party Total:,"7,731", 
 , , , 
Chris Christie,Republican,27,0.24%
Jeb Bush,Republican,46,0.41%
Ben Carson,Republican,150,1.33%
Donald J. Trump,Republican,"4,691",41.65%
Marco Rubio,Republican,847,7.52%
Ted Cruz,Republican,"3,878",34.43%
Rick Santorum,Republican,11,0.10%
Carly Fiorina,Republican,11,0.10%
John R. Kasich,Republican,"1,478",13.12%
Rand Paul,Republican,27,0.24%
Jim Lynch,Republican,2,0.02%
Mike Huckabee,Republican,40,0.36%
Uncommitted,Republican,55,0.49%
 ,Party Total:,"11,263", 
 , , , 
Austin Petersen,Libertarian,8,25.81%
Steven Elliott (Steve) Kerbel,Libertarian,4,12.90%
Rhett Rosenquest Smith,Libertarian,1,3.23%
Cecil Ince,Libertarian,4,12.90%
Marc Allan Feldman,Libertarian,1,3.23%
Uncommitted,Libertarian,13,41.94%
 ,Party Total:,31, 
 , , , 
Uncommitted,Constitution,6,100.00%
 ,Total Votes:,"19,031", 
 , , , 
,,,
U.S. President, , ,27 of 27 Precincts Reported
Hillary Clinton,Democratic,889,52.73%
Henry Hewes,Democratic,8,0.47%
"Roque ""Rocky"" De La Fuente",Democratic,6,0.36%
Bernie Sanders,Democratic,766,45.43%
Keith Judd,Democratic,3,0.18%
Willie L. Wilson,Democratic,3,0.18%
Martin J. O'Malley,Democratic,2,0.12%
John Wolfe,Democratic,2,0.12%
Jon Adams,Democratic,2,0.12%
Uncommitted,Democratic,5,0.30%
 ,Party Total:,"1,686", 
 , , , 
Chris Christie,Republican,11,0.15%
Jeb Bush,Republican,18,0.25%
Ben Carson,Republican,76,1.05%
Donald J. Trump,Republican,"3,652",50.47%
Marco Rubio,Republican,324,4.48%
Ted Cruz,Republican,"2,676",36.98%
Rick Santorum,Republican,3,0.04%
Carly Fiorina,Republican,1,0.01%
John R. Kasich,Republican,427,5.90%
Rand Paul,Republican,15,0.21%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,21,0.29%
Uncommitted,Republican,12,0.17%
 ,Party Total:,"7,236", 
 , , , 
Austin Petersen,Libertarian,2,28.57%
Steven Elliott (Steve) Kerbel,Libertarian,1,14.29%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,2,28.57%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,2,28.57%
 ,Party Total:,7, 
 , , , 
Uncommitted,Constitution,4,100.00%
 ,Total Votes:,"8,933", 
 , , , 
,,,
U.S. President, , ,11 of 11 Precincts Reported
Hillary Clinton,Democratic,244,43.19%
Henry Hewes,Democratic,1,0.18%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,314,55.58%
Keith Judd,Democratic,0,0.00%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,0,0.00%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,6,1.06%
 ,Party Total:,565, 
 , , , 
Chris Christie,Republican,2,0.11%
Jeb Bush,Republican,12,0.67%
Ben Carson,Republican,17,0.95%
Donald J. Trump,Republican,780,43.67%
Marco Rubio,Republican,96,5.38%
Ted Cruz,Republican,701,39.25%
Rick Santorum,Republican,3,0.17%
Carly Fiorina,Republican,2,0.11%
John R. Kasich,Republican,149,8.34%
Rand Paul,Republican,2,0.11%
Jim Lynch,Republican,1,0.06%
Mike Huckabee,Republican,11,0.62%
Uncommitted,Republican,10,0.56%
 ,Party Total:,"1,786", 
 , , , 
Austin Petersen,Libertarian,1,25.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,1,25.00%
Uncommitted,Libertarian,2,50.00%
 ,Party Total:,4, 
 , , , 
Uncommitted,Constitution,1,100.00%
 ,Total Votes:,"2,356", 
 , , , 
,,,
U.S. President, , ,25 of 25 Precincts Reported
Hillary Clinton,Democratic,"1,378",44.52%
Henry Hewes,Democratic,2,0.07%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.07%
Bernie Sanders,Democratic,"1,678",54.22%
Keith Judd,Democratic,4,0.13%
Willie L. Wilson,Democratic,2,0.07%
Martin J. O'Malley,Democratic,5,0.16%
John Wolfe,Democratic,3,0.10%
Jon Adams,Democratic,3,0.10%
Uncommitted,Democratic,18,0.58%
 ,Party Total:,"3,095", 
 , , , 
Chris Christie,Republican,13,0.17%
Jeb Bush,Republican,31,0.41%
Ben Carson,Republican,90,1.19%
Donald J. Trump,Republican,"3,141",41.63%
Marco Rubio,Republican,366,4.85%
Ted Cruz,Republican,"3,261",43.22%
Rick Santorum,Republican,7,0.09%
Carly Fiorina,Republican,6,0.08%
John R. Kasich,Republican,584,7.74%
Rand Paul,Republican,15,0.20%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,17,0.23%
Uncommitted,Republican,14,0.19%
 ,Party Total:,"7,545", 
 , , , 
Austin Petersen,Libertarian,16,61.54%
Steven Elliott (Steve) Kerbel,Libertarian,3,11.54%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,2,7.69%
Uncommitted,Libertarian,5,19.23%
 ,Party Total:,26, 
 , , , 
Uncommitted,Constitution,6,100.00%
 ,Total Votes:,"10,672", 
 , , , 
,,,
U.S. President, , ,23 of 23 Precincts Reported
Hillary Clinton,Democratic,"1,388",48.86%
Henry Hewes,Democratic,6,0.21%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.07%
Bernie Sanders,Democratic,"1,419",49.95%
Keith Judd,Democratic,1,0.04%
Willie L. Wilson,Democratic,5,0.18%
Martin J. O'Malley,Democratic,1,0.04%
John Wolfe,Democratic,3,0.11%
Jon Adams,Democratic,1,0.04%
Uncommitted,Democratic,15,0.53%
 ,Party Total:,"2,841", 
 , , , 
Chris Christie,Republican,16,0.16%
Jeb Bush,Republican,28,0.28%
Ben Carson,Republican,80,0.80%
Donald J. Trump,Republican,"5,467",54.88%
Marco Rubio,Republican,473,4.75%
Ted Cruz,Republican,"2,985",29.97%
Rick Santorum,Republican,3,0.03%
Carly Fiorina,Republican,2,0.02%
John R. Kasich,Republican,846,8.49%
Rand Paul,Republican,8,0.08%
Jim Lynch,Republican,1,0.01%
Mike Huckabee,Republican,27,0.27%
Uncommitted,Republican,25,0.25%
 ,Party Total:,"9,961", 
 , , , 
Austin Petersen,Libertarian,2,25.00%
Steven Elliott (Steve) Kerbel,Libertarian,1,12.50%
Rhett Rosenquest Smith,Libertarian,1,12.50%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,1,12.50%
Uncommitted,Libertarian,3,37.50%
 ,Party Total:,8, 
 , , , 
Uncommitted,Constitution,5,100.00%
 ,Total Votes:,"12,815", 
 , , , 
,,,
U.S. President, , ,34 of 34 Precincts Reported
Hillary Clinton,Democratic,"2,076",46.59%
Henry Hewes,Democratic,4,0.09%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.05%
Bernie Sanders,Democratic,"2,335",52.40%
Keith Judd,Democratic,2,0.05%
Willie L. Wilson,Democratic,2,0.05%
Martin J. O'Malley,Democratic,6,0.14%
John Wolfe,Democratic,2,0.05%
Jon Adams,Democratic,3,0.07%
Uncommitted,Democratic,24,0.54%
 ,Party Total:,"4,456", 
 , , , 
Chris Christie,Republican,30,0.19%
Jeb Bush,Republican,45,0.29%
Ben Carson,Republican,115,0.73%
Donald J. Trump,Republican,"6,137",39.01%
Marco Rubio,Republican,694,4.41%
Ted Cruz,Republican,"7,332",46.61%
Rick Santorum,Republican,11,0.07%
Carly Fiorina,Republican,11,0.07%
John R. Kasich,Republican,"1,245",7.91%
Rand Paul,Republican,27,0.17%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,29,0.18%
Uncommitted,Republican,56,0.36%
 ,Party Total:,"15,732", 
 , , , 
Austin Petersen,Libertarian,17,42.50%
Steven Elliott (Steve) Kerbel,Libertarian,3,7.50%
Rhett Rosenquest Smith,Libertarian,2,5.00%
Cecil Ince,Libertarian,2,5.00%
Marc Allan Feldman,Libertarian,2,5.00%
Uncommitted,Libertarian,14,35.00%
 ,Party Total:,40, 
 , , , 
Uncommitted,Constitution,14,100.00%
 ,Total Votes:,"20,242", 
 , , , 
,,,
U.S. President, , ,13 of 13 Precincts Reported
Hillary Clinton,Democratic,233,46.32%
Henry Hewes,Democratic,1,0.20%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,255,50.70%
Keith Judd,Democratic,1,0.20%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,0,0.00%
John Wolfe,Democratic,1,0.20%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,12,2.39%
 ,Party Total:,503, 
 , , , 
Chris Christie,Republican,2,0.10%
Jeb Bush,Republican,11,0.56%
Ben Carson,Republican,19,0.97%
Donald J. Trump,Republican,"1,004",51.30%
Marco Rubio,Republican,90,4.60%
Ted Cruz,Republican,656,33.52%
Rick Santorum,Republican,1,0.05%
Carly Fiorina,Republican,1,0.05%
John R. Kasich,Republican,150,7.67%
Rand Paul,Republican,1,0.05%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,10,0.51%
Uncommitted,Republican,12,0.61%
 ,Party Total:,"1,957", 
 , , , 
Austin Petersen,Libertarian,0,0.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,1,100.00%
 ,Party Total:,1, 
 , , , 
Uncommitted,Constitution,0,0.00%
 ,Total Votes:,"2,461", 
 , , , 
,,,
U.S. President, , ,7 of 7 Precincts Reported
Hillary Clinton,Democratic,138,48.59%
Henry Hewes,Democratic,3,1.06%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,142,50.00%
Keith Judd,Democratic,0,0.00%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,0,0.00%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,1,0.35%
 ,Party Total:,284, 
 , , , 
Chris Christie,Republican,3,0.26%
Jeb Bush,Republican,4,0.34%
Ben Carson,Republican,6,0.52%
Donald J. Trump,Republican,623,53.52%
Marco Rubio,Republican,50,4.30%
Ted Cruz,Republican,404,34.71%
Rick Santorum,Republican,2,0.17%
Carly Fiorina,Republican,0,0.00%
John R. Kasich,Republican,59,5.07%
Rand Paul,Republican,2,0.17%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,9,0.77%
Uncommitted,Republican,2,0.17%
 ,Party Total:,"1,164", 
 , , , 
Austin Petersen,Libertarian,0,0.00%
Steven Elliott (Steve) Kerbel,Libertarian,1,50.00%
Rhett Rosenquest Smith,Libertarian,1,50.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,0,0.00%
 ,Party Total:,2, 
 , , , 
Uncommitted,Constitution,0,0.00%
 ,Total Votes:,"1,450", 
 , , , 
,,,
U.S. President, , ,47 of 47 Precincts Reported
Hillary Clinton,Democratic,"3,765",46.83%
Henry Hewes,Democratic,11,0.14%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.03%
Bernie Sanders,Democratic,"4,185",52.06%
Keith Judd,Democratic,1,0.01%
Willie L. Wilson,Democratic,5,0.06%
Martin J. O'Malley,Democratic,7,0.09%
John Wolfe,Democratic,4,0.05%
Jon Adams,Democratic,5,0.06%
Uncommitted,Democratic,54,0.67%
 ,Party Total:,"8,039", 
 , , , 
Chris Christie,Republican,33,0.19%
Jeb Bush,Republican,52,0.29%
Ben Carson,Republican,161,0.91%
Donald J. Trump,Republican,"6,886",38.97%
Marco Rubio,Republican,"1,064",6.02%
Ted Cruz,Republican,"7,671",43.41%
Rick Santorum,Republican,16,0.09%
Carly Fiorina,Republican,14,0.08%
John R. Kasich,Republican,"1,648",9.33%
Rand Paul,Republican,30,0.17%
Jim Lynch,Republican,4,0.02%
Mike Huckabee,Republican,33,0.19%
Uncommitted,Republican,59,0.33%
 ,Party Total:,"17,671", 
 , , , 
Austin Petersen,Libertarian,27,40.91%
Steven Elliott (Steve) Kerbel,Libertarian,8,12.12%
Rhett Rosenquest Smith,Libertarian,2,3.03%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,6,9.09%
Uncommitted,Libertarian,23,34.85%
 ,Party Total:,66, 
 , , , 
Uncommitted,Constitution,17,100.00%
